"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
44,648875351,"Via Mogadiscio","unclassified","40.6353594,17.9329322","40.6348944,17.9330795",53.119,"2025-09-02 10:05:01.515859","day",51,12,15
46,371399354,"Via Tirolo","tertiary","40.6306281,17.9375524","40.631544,17.9367754",127.234,"2025-09-02 10:05:01.515859","day",130,27,17
47,321063028,"Via Cappuccini","tertiary","40.6318298,17.9235845","40.6309155,17.9215916",200.152,"2025-09-02 10:05:01.515859","day",199,28,26
48,34024921,"Via Tor Pisana","unclassified","40.6326242,17.9389513","40.6323351,17.9392841",42.703,"2025-09-02 10:05:01.515859","day",42,6,25
49,656352206,"Via Schiavone","unclassified","40.6334261,17.9327122","40.6325555,17.9324393",100.424,"2025-09-02 10:05:01.515859","day",102,34,11
50,34063494,"Via Osanna","unclassified","40.6366326,17.9345676","40.6368149,17.9339525",55.99,"2025-09-02 10:05:01.515859","day",53,13,15
51,34177700,"Via Sant'Angelo","tertiary","40.6232109,17.9314857","40.6204335,17.933536",356.715,"2025-09-02 10:05:01.515859","day",358,72,18
52,269414030,"Via Tirolo","tertiary","40.6303611,17.9375046","40.6296715,17.9381088",92.072,"2025-09-02 10:05:01.515859","day",92,45,7
53,655695411,"Via San Giovanni Bosco","tertiary","40.6259461,17.9281479","40.6249152,17.9288817",130.46,"2025-09-02 10:05:01.515859","day",130,48,10
54,654298702,"Via Cappuccini","tertiary","40.6320356,17.9237829","40.631874,17.9237496",18.168,"2025-09-02 10:05:01.515859","day",17,3,20
55,666974867,"Viale Commenda","tertiary","40.6314783, 17.9365181","40.6315844, 17.9367414",22.693,"2025-09-02 10:05:01.515859","day",24,7,12
56,34149857,"Via Martiri delle Ardeatine","tertiary","40.6274193,17.9408964","40.6283516,17.9394671",161.938,"2025-09-02 10:05:01.515859","day",161,23,25
57,34024916,"Via Sicilia","unclassified","40.630295, 17.9371378","40.6271409,17.9315399",619.687,"2025-09-02 10:05:01.515859","day",593,100,21
58,264490413,"Via Arione","unclassified","40.635988,17.9301651","40.6334261,17.9327122",356.911,"2025-09-02 10:05:01.515859","day",359,99,13
60,34100020,"Via Magenta","unclassified","40.6273918,17.9242061","40.6284167,17.9264755",223.303,"2025-09-02 10:05:01.515859","day",224,54,15
62,269379796,"Via Verona","unclassified","40.6274112,17.9242321","40.628168,17.9233766",110.919,"2025-09-02 10:05:01.515859","day",115,37,11
63,34149875,"Via Bezzecca","unclassified","40.6246742,17.9268147","40.6252705,17.9270064",68.302,"2025-09-02 10:05:01.515859","day",68,16,15
64,161201131,"Via Solferino","unclassified","40.6262283, 17.925306","40.62721767, 17.9272157",204.062,"2025-09-02 10:05:01.515859","day",195,55,13
66,34038720,"Via Solferino","unclassified","40.6261149,17.9244858","40.6262175,17.9252617",68.41,"2025-09-02 10:05:01.515859","day",66,13,18
67,779695221,"Via Consolazione","unclassified","40.636013,17.9327381","40.6353594,17.9329322",74.414,"2025-09-02 10:05:01.515859","day",73,17,15
68,779695221,"Via San Giovanni Bosco","tertiary","40.6293468, 17.9257899","40.6259461,17.9281479",446.717,"2025-09-02 10:05:01.515859","day",427,110,14
69,380169690,"Viale Aldo Moro","tertiary","40.6296195,17.938271","40.6304466,17.9398572",162.63,"2025-09-02 10:05:01.515859","day",165,21,28
70,442128402,"Via Cappuccini","tertiary","40.6329579,17.9246253","40.6320356,17.9237829",124.897,"2025-09-02 10:05:01.515859","day",125,24,19
71,267558737,"Via San Giovanni Bosco","tertiary","40.6259843,17.9282397","40.6295623,17.9258042",447.633,"2025-09-02 10:05:01.515859","day",448,100,16
72,970993470,"Via Maria Santissima Ausiliatrice","tertiary","40.6280443,17.9312522","40.628179,17.9313747",18.198,"2025-09-02 10:05:01.515859","day",19,6,11
73,654298697,"Via Palmiro Togliatti","tertiary","40.6297134,17.938191","40.6296715,17.9381088",8.367,"2025-09-02 10:05:01.515859","day",8,1,29
74,34177688,"Via Romolo","residential","40.6296701,17.9303682","40.6293166,17.9294494",87.091,"2025-09-02 10:05:01.515859","day",92,38,9
75,174081067,"Via Maria Santissima Ausiliatrice","tertiary","40.628179,17.9313747","40.6288853,17.9319869",94.004,"2025-09-02 10:05:01.515859","day",93,25,13
76,666974868,"Via Tirolo","tertiary","40.6314977,17.9364942","40.6314216,17.9365606",10.147,"2025-09-02 10:05:01.515859","day",10,3,12
79,34149874,"Via Villafranca","tertiary","40.6262354,17.9288881","40.6266123,17.9296505",77.006,"2025-09-02 10:05:01.515859","day",75,19,14
80,269414020,"Piazza Virgilio","tertiary","40.628896, 17.9320153","40.6291630, 17.9321802",20.145,"2025-09-02 10:05:01.515859","day",33,7,17
81,147950974,"Viale Aldo Moro","tertiary","40.6296715,17.9381088","40.6264022,17.9317219",651.043,"2025-09-02 10:05:01.515859","day",650,194,12
83,694786506,"Via Dalmazia","unclassified","40.6304416,17.939649","40.6312696,17.9387999",116.69,"2025-09-02 10:05:01.515859","day",114,16,26
84,269401444,"Via Veneto","residential","40.6285975,17.9328398","40.6279551,17.9315863",127.822,"2025-09-02 10:05:01.515859","day",127,36,13
85,654315472,"Viale Palmiro Togliatti","tertiary","40.6248557,17.9289271","40.6261358,17.931437",255.56,"2025-09-02 10:05:01.515859","day",255,99,9
86,648875350,"Via Imperatore Augusto","residential","40.6330248,17.9319857","40.6325555,17.9324393",64.719,"2025-09-02 10:05:01.515859","day",66,15,16
